time (min),LS  13.38 °     ,time (min),LS  25.31 °     ,time (min),LS  34.39 °     ,time (min),LS  42.49 °     ,time (min),LS  51.33 °     ,time (min),LS  59.81 °     ,time (min),LS  69.24 °     ,time (min),LS  79.66 °     ,time (min),LS  90.00 °     ,time (min),LS  100.34 °     ,time (min),LS  110.76 °     ,time (min),LS  121.39 °     ,time (min),LS  132.40 °     ,time (min),LS  142.83 °     ,time (min),LS  153.06 °     ,time (min),LS  164.17 °     ,time (min),dRI     
109.274467366212,0.000795476992616308,109.274467366212,0.00103720103521206,109.274467366212,0.0011481382377222,109.274467366212,0.00119595526014615,109.274467366212,0.00119321090986583,109.274467366212,0.00117594204758279,109.274467366212,0.00117244374361501,109.274467366212,0.00114768502173144,109.274467366212,0.00126061617717993,109.274467366212,-1.65598691392888E-8,109.274467366212,0.0011307666116603,109.274467366212,0.00111846142848858,109.274467366212,0.00111568908066409,109.274467366212,0.00109632695679933,109.274467366212,0.00103774357982395,109.274467366212,0.00102130682749109,109.664726072607,0.00362972683518976
109.307681490031,0.000795851792898548,109.307681490031,0.00103714813281407,109.307681490031,0.00114746350341465,109.307681490031,0.00119549984646537,109.307681490031,0.00119255872045571,109.307681490031,0.00117575769711993,109.307681490031,0.00117234297220208,109.307681490031,0.00114685418935387,109.307681490031,0.00126038519631776,109.307681490031,-1.53163747459012E-8,109.307681490031,0.00113068238184968,109.307681490031,0.00111824338810694,109.307681490031,0.00111518190392321,109.307681490031,0.00109614185656823,109.307681490031,0.00103758047591808,109.307681490031,0.00102113254908039,109.698058816094,0.00363548236186508
109.340895613851,0.000795865239765536,109.340895613851,0.00103621101076941,109.340895613851,0.00114732650353091,109.340895613851,0.00119521226673146,109.340895613851,0.00119243118973006,109.340895613851,0.00117539526327453,109.340895613851,0.00117233863513795,109.340895613851,0.00114649196359799,109.340895613851,0.00125987717539189,109.340895613851,-1.49619149264071E-8,109.340895613851,0.00113037576461119,109.340895613851,0.00111777118986834,109.340895613851,0.00111488267911284,109.340895613851,0.00109589895242953,109.340895613851,0.00103726774124417,109.340895613851,0.00102044967373124,109.731391559582,0.00364108315730952
109.37410973767,0.000795878686632524,109.37410973767,0.00103599035390925,109.37410973767,0.00114650387341933,109.37410973767,0.00119511255262063,109.37410973767,0.00119230365900442,109.37410973767,0.00117434768504404,109.37410973767,0.00117194871350486,109.37410973767,0.0011461297378421,109.37410973767,0.00125936915446603,109.37410973767,-1.52368307089763E-8,109.37410973767,0.0011300691473727,109.37410973767,0.00111710679168793,109.37410973767,0.00111433661272184,109.37410973767,0.00109538884918433,109.37410973767,0.00103676277663996,109.37410973767,0.00101994583275127,109.764724303069,0.00364644567656638
109.40732386149,0.000796300978524836,109.40732386149,0.00103476260693529,109.40732386149,0.00114568124330776,109.40732386149,0.00119414985767802,109.40732386149,0.0011918238591285,109.40732386149,0.00117426421603297,109.40732386149,0.00117152255109207,109.40732386149,0.00114561786415,109.40732386149,0.00125904188049368,109.40732386149,-1.5511746491551E-8,109.40732386149,0.00113006528796574,109.40732386149,0.0011170242299339,109.40732386149,0.0011140891981792,109.40732386149,0.0010951616665351,109.40732386149,0.0010366406436202,109.40732386149,0.00101965845368924,109.798057046556,0.00365143144352197
109.44053798531,0.00079633369080983,109.44053798531,0.00103397316752582,109.44053798531,0.00114421519578078,109.44053798531,0.0011939656683734,109.44053798531,0.00119174751540095,109.44053798531,0.00117433812916897,109.44053798531,0.00117113498031979,109.44053798531,0.00114561877746592,109.44053798531,0.0012589283610707,109.44053798531,-1.58521421305512E-8,109.44053798531,0.00113006142855878,109.44053798531,0.0011169980530806,109.44053798531,0.00111378615689309,109.44053798531,0.00109512494711928,109.44053798531,0.00103651851060044,109.44053798531,0.00101892469226558,109.831389790043,0.00365603187905671
109.473752109129,0.000796077305823136,109.473752109129,0.00103330379121919,109.473752109129,0.00114423804785036,109.473752109129,0.00119351273609825,109.473752109129,0.00119137485468137,109.473752109129,0.00117434225942723,109.473752109129,0.00117063245619111,109.473752109129,0.00114557071623399,109.473752109129,0.00125829227866091,109.473752109129,-1.61925377695568E-8,109.473752109129,0.00112946132521148,109.473752109129,0.00111676888603223,109.473752109129,0.00111367276077358,109.473752109129,0.00109475773384063,109.473752109129,0.00103626597337327,109.473752109129,0.00101816254360083,109.86472253353,0.0036603391601088
109.506966232949,0.000795820920836441,109.506966232949,0.00103263441491257,109.506966232949,0.0011441286610602,109.506966232949,0.0011927881383388,109.506966232949,0.00119131903796002,109.506966232949,0.00117401581785506,109.506966232949,0.00117060828104899,109.506966232949,0.00114552265500205,109.506966232949,0.001257899211671,109.506966232949,-1.55333397904074E-8,109.506966232949,0.00112936099730284,109.506966232949,0.00111656899372805,109.506966232949,0.00111360686187118,109.506966232949,0.00109428119332302,109.506966232949,0.00103594473642089,109.506966232949,0.00101805320360315,109.898055277017,0.00366433952678159
109.540180356768,0.000795275438578058,109.540180356768,0.00103267297300856,109.540180356768,0.00114401927427003,109.540180356768,0.00119245827915827,109.540180356768,0.00119102417206397,109.540180356768,0.0011736893762829,109.540180356768,0.00116984012521991,109.540180356768,0.00114532962436956,109.540180356768,0.00125765722356249,109.540180356768,-1.5812242004703E-8,109.540180356768,0.00112935960228516,109.540180356768,0.00111652354996486,109.540180356768,0.00111354096296879,109.540180356768,0.00109421747199166,109.540180356768,0.00103583140294058,109.540180356768,0.00101794386360546,109.931388020504,0.00366791281397493
109.573394480588,0.000792820350972379,109.573394480588,0.00103248145684564,109.573394480588,0.00114377764862011,109.573394480588,0.00119302019030626,109.573394480588,0.00119085012027994,109.573394480588,0.00117293054470175,109.573394480588,0.00116966375459165,109.573394480588,0.00114528209553931,109.573394480588,0.00125760395227036,109.573394480588,-1.6091144219004E-8,109.573394480588,0.00112930208741325,109.573394480588,0.00111629280797834,109.573394480588,0.00111345234219669,109.573394480588,0.00109425077594322,109.573394480588,0.00103585542048126,109.573394480588,0.00101831195269512,109.964720763991,0.00367105515561905
